security,file,rank_1,rank_2,rank_3
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,VLO_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
V,V_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
XOM,XOM_2023_10-K.html,oil_exposure,,
